# magnetic_north_deg=0
# noise_stddev=2.2461024
# seed=12345
# convention: relative_angle = magnetic_north_angle - robot_angle
angle,mag_x,mag_y,mag_z
185,-565,-642,-214
185,-566,-645,-225
185,-570,-638,-213
185,-564,-641,-216
190,-588,-631,-214
190,-585,-633,-219
190,-586,-630,-215
190,-583,-631,-215
195,-609,-617,-214
195,-607,-618,-215
195,-609,-618,-212
195,-604,-619,-211
200,-627,-603,-212
200,-621,-606,-206
200,-625,-607,-210
200,-623,-603,-209
205,-644,-593,-210
205,-643,-592,-213
205,-643,-587,-206
205,-641,-590,-205
210,-661,-569,-203
210,-658,-572,-207
210,-663,-575,-203
210,-661,-573,-208
215,-679,-551,-204
215,-679,-553,-205
215,-677,-554,-205
215,-678,-554,-206
220,-692,-534,-202
220,-693,-533,-201
220,-688,-535,-199
220,-688,-532,-200
225,-696,-514,-204
225,-707,-512,-205
225,-703,-514,-201
225,-703,-517,-203
230,-715,-489,-193
230,-714,-492,-199
230,-714,-492,-199
230,-713,-490,-199
235,-724,-469,-198
235,-719,-471,-192
235,-725,-471,-195
235,-725,-469,-195
240,-734,-447,-195
240,-727,-451,-193
240,-732,-444,-192
240,-731,-450,-194
245,-736,-425,-190
245,-739,-422,-193
245,-737,-423,-191
245,-739,-425,-192
250,-741,-400,-193
250,-740,-401,-187
250,-740,-401,-187
250,-738,-402,-193
255,-739,-375,-184
255,-741,-377,-187
255,-744,-377,-189
255,-742,-381,-195
260,-742,-352,-187
260,-742,-354,-184
260,-737,-352,-184
260,-741,-355,-186
265,-738,-328,-187
265,-738,-331,-185
265,-736,-331,-187
265,-739,-332,-183
270,-734,-309,-180
270,-733,-306,-186
270,-731,-309,-181
270,-733,-306,-186
275,-732,-287,-185
275,-723,-287,-182
275,-726,-287,-182
275,-724,-289,-185
280,-718,-269,-180
280,-718,-267,-181
280,-718,-267,-182
280,-717,-268,-179
285,-709,-246,-177
285,-710,-246,-180
285,-709,-251,-181
285,-710,-248,-179
290,-699,-228,-176
290,-696,-230,-179
290,-697,-230,-177
290,-697,-229,-180
295,-684,-209,-182
295,-686,-210,-178
295,-683,-212,-179
295,-686,-213,-177
300,-669,-195,-177
300,-672,-198,-179
300,-671,-197,-179
300,-672,-196,-180
305,-655,-183,-179
305,-654,-182,-180
305,-655,-184,-177
305,-655,-183,-178
310,-640,-170,-184
310,-642,-169,-185
310,-644,-168,-181
310,-640,-169,-181
315,-622,-160,-180
315,-620,-160,-182
315,-624,-158,-186
315,-617,-160,-181
320,-606,-150,-184
320,-600,-152,-184
320,-607,-148,-178
320,-600,-152,-184
325,-584,-143,-181
325,-584,-143,-181
325,-583,-143,-183
325,-583,-147,-183
330,-562,-139,-181
330,-565,-138,-182
330,-562,-137,-185
330,-560,-142,-183
335,-539,-137,-182
335,-544,-133,-184
335,-544,-132,-184
335,-543,-134,-185
340,-526,-131,-191
340,-522,-131,-183
340,-524,-132,-185
340,-524,-131,-185
345,-503,-133,-184
345,-501,-130,-188
345,-503,-132,-187
345,-502,-132,-186
350,-487,-132,-189
350,-480,-134,-191
350,-481,-137,-189
350,-481,-134,-190
355,-458,-136,-188
355,-461,-138,-189
355,-459,-138,-190
355,-464,-139,-198
